中文,英文
初始入渗率,initial infiltration rate
氧扩散率,oxygen diffusion rate
粉[砂]粒,silt
微团聚体,microaggregate
充气孔隙,airfilled pore
非饱和导水率,unsaturated hydraulic conductivity
水势梯度,water potential gradient
入渗通量,infiltration flux
土壤排水,soil drainage
明沟排水,ditch drainage
透水层,permeable layer
空间变异,spatial variability
相对蒸腾,relative transpiration
蒸腾,transpiration
土壤通气性,soil aeration
有效水,available water
灌溉,irrigation
土壤温度状况,soil temperature regime
气通量,air flux
土壤温度梯度,soil temperature gradient
抗拉强度,tensile strength
塑性距,plasticity range
土壤流变学,soil rheology
可塑性,plasticity
土壤强度,soil strength
土壤膨胀指数,soil swelling index
土壤磁化率,soil magnetic susceptibility
土块,clod
锥形穿入计,cone penetrometer
土块分布,clod distribution
临界荷载点,critical bearing point
土壤饱和磁化强度,soil saturated magnetization
土壤剩磁,soil residual magnetizability
土壤比容,soil specific volume
土壤质地,soil texture
黏粒,clay
砂土,sand
粉[砂]土,silt
土壤分散剂,soil dispersing agent
土壤质地剖面,soil texture profile
微结构,microstructure
结构剖面,structure profile
水稳性团聚体,water stable aggregate
土壤孔隙度,soil porosity
内表面,internal surface area
分散系数,dispersive coefficient
土壤含水量,soil water content
绝对含水量,absolute water content
束缚水,confined water
土壤水[分]常数,soil water constant
毛管凝结水,capillary condensation water
毛管悬着水,capillary suspending water
土水势,soil water potential
质量含水量,mass water content
基质势,matric potential
体积含水量,volumetric water content
斯托克斯定律,Stokes' law
固相容积,solid phase volume
液相容积,liquid phase volume
土壤颗粒,soil particle
土壤剪切,soil shear
壤土,loam
土粒沉降累积曲线,particle sedimental accumulated curve
物理性砂粒,physical sand
壤砂土,loamy sand
黏壤土,clay loam
轻壤土,light loam
粉[砂]质黏壤土,silty clay loam
细砂土,fine sand
棱状结构,prismatic structure
碎裂[作用],fragmentation
土壤结构类型,soil structure type
力稳性团聚体,mechanical stable aggregate
大团聚体,macroaggregate
结构指标,structure index
外表面,external surface area
结构系数,structure coefficient
水汽运动,vapor movement
土壤固态水,soil water in solid phase
土壤液态水,soil water in liquid phase
土壤气态水,soil water in vapor phase
浸水土壤密度,water immersed soil density
持水孔隙,water-holding pore
毛管水,capillary water
优先流,preferential flow
土壤水[分]滞后现象,soil water hysteresis
进气吸力值,value of air-entry suction
非稳态水流,nonsteady state water flow
比水容量,specific water capacity
渗滤率,percolation rate
溶质对流,solute convection
混合置换,miscible displacement
溶质扩散,solute diffusion
不透水层,impermeable layer
临界水位,critical groundwater table
土壤水[分]蒸发,soil water evaporation
土壤温度,soil temperature
被动吸收[水分],passive uptake [water]
土壤空气,soil air
土壤空气扩散,soil air diffusion
土壤空气扩散系数,diffusion coefficient of soil air
土壤热,soil heat
土壤呼吸,soil respiration
流限,liquid limit
塑限,plastic limit
容积热容量,volume heat capacity
热通量密度,heat flux density
土壤热传导,soil heat conduction
塑性指数,plastic index
土壤变形,soil deformation
土壤表观黏度,soil apparent viscosity
黏着点,sticky point
常态收缩,normal shrinkage
土壤压缩,soil compression
土壤可压缩性,soil compressibility
土壤反磁质,soil diamagnetic substance
土壤铁磁质,soil ferromagnetic substance
土壤[水]吸力,soil water suction
湿润热,wetting heat
渗滤,percolation
触点水,pendular water
呼吸商,RQ-respiratory quotient
阿特贝限,Atterberg limits
结壳,crust
土壤收缩,soil shrinkage
土壤孔隙,soil pore space
土壤结构分类,soil structure classification
结构单位,structure unit
萎蔫含水量,wilting point
薄膜水,film water
饱和含水量,saturated water content
基质吸力,matric suction
热毛管运动,thermal capillary movement
潜在蒸散,potential evapotranspiration
土壤空气交换,soil air exchange
主动吸收[水分],active uptake [water]
土壤坚实度,soil hardness
土壤水[分]扩散率,soil water diffusivity
剪切应力,shear stress
土壤电性,soil electricity
团聚[作用],aggregation
砂粒,sand
重壤土,heavy loam
粉[砂]黏土,silty clay
轻黏土,light clay
黏土,clay
片状结构,platy structure
亚角块状结构,subangular blocky structure
粒状结构,granular structure
结构退化,structure degradation
曲率,tortuosity
团聚体间孔隙,inter-aggregate pore
土壤水[分],soil water
持水孔隙度,water-holding porosity
最大吸湿量,maximum hygroscopicity
重力势,gravitational potential
土壤水[分]状况,soil water regime
渗透势,osmotic potential
总势,total potential
土壤水能态,energy state of soil water
土壤非饱和水流,unsaturated soil water flow
吸力梯度,suction gradient
土壤导水率,soil hydraulic conductivity
饱和导水率,saturated hydraulic conductivity
水[文]循环,hydrologic cycle
降水,precipitation
有效降水,effective precipitation
弥散系数,dispersion coefficient
蓄水层,water storage layer
地面排水,surface drainage
稳定入渗率,stable infiltration rate
地下排水,underground drainage
内通透性,intrinsic permeability
湿润锋,wetting front
土壤水[分]再分布,soil water redistribution
渍水,waterlogging
淹水,water flooding
蒸散[作用],evapotranspiration
土壤空气相对扩散系数,relative diffusion coefficient of soil air
土壤摩擦[力],soil friction
土壤固结,soil consolidation
土壤电磁性,soil electromagnetism
土壤比阻,soil specific resistance
石块,stone
气相容积,air phase volume
土壤物理性质,soil physical property
土壤三相,soil three phases
质量热容量,mass heat capacity
原状土,undisturbed soil
砾,cobble
土壤水形态,soil water form
土壤比表面,soil specific surface area
土壤密度,soil density
土壤热交换,soil heat exchange
土壤黏闭,soil puddling
粗屑体,coarse fragment
土壤颗粒大小分析,soil particlesize analysis
土壤颗粒大小分布,particle-size distribution
土粒有效直径,effective diameter of soil particle
冻融交替[作用],alternation of freezing and thawing
土壤水[分]特征曲线,soil water characteristic curve
达西定律,Darcy's law
溶质弥散,solute dispersion
扩散系数,diffusion coefficient
蒸腾系数,transpiration coefficient
渗滤水采集器,lysimeter
土壤热扩散率,soil heat diffusivity
砂质黏壤土,sandy clay loam
土壤分散[作用],soil dispersion
砂壤土,sandy loam
土粒胶结[作用],soil particle cementation
中黏土,medium clay
粗砂土,coarse sand
土壤结构度,soil structure grade
土粒凝聚[作用],soil particle coagulation
结构形态,structure morphology
非稳定性团聚体,instable aggregate
团聚体消散,aggregate slaking
大结构,macrostructure
团聚体,aggregate
稳定性团聚体,stable aggregate
原生颗粒,primary particle
次生颗粒,secondary particle
孔径分布,pore-size distribution
团聚体崩解,aggregate disintegration
土壤结构改良剂,soil conditioner
破裂系数,rupture modulus
土粒密度,soil particle density
土壤改良剂,soil amendment
当量孔隙,equivalent pore
孔隙比,pore space ratio
团聚体内孔隙,intra-aggregate pore
重力水,gravitational water
吸湿水,hygroscopic water
田间持水量,field capacity
毛管支持水,capillary supporting water
相对含水量,relative water content
薄膜运动,film movement
湿度梯度,moisture gradient
土壤水平衡,soil water balance
土壤-植物-大气连续体,soilplant-atmosphere continuum
土壤空气组成,soil air composition
灌溉效益,irrigation efficiency
土壤热容量,soil heat capacity
土壤呼吸强度,intensity of soil respiration
土[壤]动力学性质,dynamic property of soil
导热率,heat conductivity
耕作动力学,tillage dynamics
土壤膨胀,soil swelling
剩余收缩,residual shrinkage
线胀系数,coefficient of linear extensibility
土壤电阻,soil electric resistance
土壤穿入阻力,soil penetration resistance
可耕性,tillability
锥形指数,cone index
土壤自然电场,soil natural electric field
重黏土,heavy clay
土[壤]力学,soil mechanics
结构收缩,structure shrinkage
土壤顺磁质,soil paramagnetic substance
暗管排水,tile drainage
粉[砂]壤土,silt loam
水力势,hydraulic potential
土壤生态亚系统,soil subecosystem
地下层,underground layer
盐土指示植物,indicator plant of solonchak
钙质土指示植物,indicator plant of calcium soil
立地条件,site condition
生态样块,tessera
土壤食虫动物,soil insectivorous animal
土壤食泥动物,soil limnophagous animal
能量释放,energy liberation
养分浓度,nutrient concentration
物质循环,material cycle
鼠墩,Mima mound
土壤系统模型,soil system model
恶性循环,vicious cycle
土壤输入,soil influx
富集,enrichment
土壤输出,soil outflux
自然肥力,natural fertility
潜在肥力,potential fertility
有效肥力,effective fertility
土壤肥力减退,soil fertility diminution
土壤肥力指标,soil fertility index
供肥性,nutrient supplying capability
土壤复原,soil restoration
保水性,water preserving capability
休闲地,fallow field
耗竭耕作,exhaustion cropping
集约种植,intensive cultivation
土壤环境保护,soil environment protection
土壤自净,soil self-purification
能量交换,energy exchange
样方,quadrat
向量分析[诊断]法,vector analysis
土壤肥力分级,soil fertility grading
熟土层,mellow soil layer
土壤肥力管理,soil fertility management
土壤质量,soil quality
土壤生产力分级,soil productivity grading
少耕,minimum tillage
病土,problem soil
污染物累积指数,accumulation index of pollutants
活性污泥处理,activated sludge treatment
土壤环境监测,soil environment monitoring
地被层,ground layer
污水灌溉,sewage irrigation
生物处理,biological treatment
土壤生态系统功能,function of soil ecosystem
土壤生态系统,soil ecosystem
嫌碱植物,basifuge
嫌酸植物,oxyphobes
喜钙植物,calciphile
立地质量,site quality
土壤空间分布,soil spatial distribution
绿色空间,vert space
腐生生物群落,saprium
食物链,food chain
循环库,cycling pool
碎屑食物链,detritus food chain
能量利用系数,utilization coefficient of energy
能量转化率,energy transformation ratio
能流,energy flow
土壤反馈信息,soil feedback information
良性循环,beneficial cycle
土壤肥力图,soil fertility map
土壤肥力学说,theory of soil fertility
人为肥力,anthropogenic fertility
土壤肥力评价,soil fertility evaluation
供水性,water supplying capability
生土,raw soil
熟土,mellow soil
适耕性,soil workability
土宜,soil suitability
保土作物,soil-conserving crop
保土耕作,conservation tillage
土壤环境指示物,soil environment indicator
化学需氧量,chemical oxygen demand
酸性指示植物,acid indicator plant
炼山,slash burning
地面火,ground fire
景观,landscape
生产者,producer
经济产量,economic yield
地下火,underground fire
枯枝落叶层,forest floor
农业生态系统,agroecosystem
蚯蚓粪,earthworm cast
粪粒,fecal pellet
粪粒性腐殖质,copro-humus
消费者,consumer
土壤食肉动物,soil carnivorous animal
腐生生物,saprophyte
物质迁移,material migration
黑箱理论,black box theory
表生富集,supergene enrichment
土壤熟化,anthropogenic mellowing of soil
动态模型,dynamic model
蚁道,ant channel
土壤肥力因子,soil fertility factor
肥土,fertile soil
免耕,no-tillage
土壤环境质量评价,soil environment quality assessment
残茬覆盖,stubble mulch
可垦地,reclaimable land
土壤环境,soil environment
土壤环境因子,soil environment factor
肥料污染,fertilizer pollution
土壤污染物,soil pollutant
土壤污染指数,soil pollution index
土壤单项污染指数,individual pollution index of soil
土壤自净能力,soil self-purification activity
活性污泥,activated sludge
养分高效植物,nutrient efficient plant
养分载荷,nutrient loading
化感作用,allelopathy
水分亏缺,water deficit
营养链,trophic chain
土壤耗竭,soil exhaustion
土壤肥力监测,soil fertility monitoring
土壤肥力级差,gradational difference of soil fertility
土壤肥力保持,soil fertility maintenance
土壤抗逆性,soil adversity resistance
养地作物,crop of improving soil fertility
耗地作物,crop of depleting soil fertility
土壤放射性污染,soil radioactive contamination
地上层,aerial layer
碱性指示植物,alkaline indicator plant
生物地理群落,biogeocoenosis
嫌钙植物,calcifuge
土壤指示植物,indicator plant of soil
非林地土壤,nonforest soil
地貌,landform
立地类型,site type
土壤空间,soil space
复合农林业,agroforestry
土壤食尸动物,soil necrophagous animal
土壤动物残体,soil animal residue
土壤食腐动物,soil saprophagous animal
土壤动物孔道,soil animal passage
养分库,nutrient pool
腐生食物链,saprophytic food chain
分室,compartment
开放生态系统,open ecosystem
生物地球化学循环,biogeochemical cycle
封闭生态系统,closed ecosystem
土壤库,soil pool
能量传输,energy transfer
储存库,reservoir pool
通量,flux
蚁堆,ant mound
土壤肥力特征,characteristics of soil fertility
土壤肥力等级,soil fertility grade
瘠土,infertile soil
土壤生产力,soil productivity
土壤承载力,soil bearing capacity
生土层,raw soil layer
保肥性,nutrient preserving capability
茬地,stub land
留茬耕作,stubble mulch farming
土壤耕性,soil tilth
深耕,deep ploughing
土壤耕作,soil tillage
生化需氧量,biochemical oxygen demand
土壤元素背景值,background value of soil element
贫营养化,oligotrophication
土壤生态系统序列,soil ecosystem sequence
土壤立体网络,soil stereonet
状态因子,state factor
状态因子方程,state factor equation
能量损失,energy loss
[植物]养分含量,[plant] nutrient content
生物富集,biological enrichment
物质流通率,ratio of material flow
土壤环境容量,soil environment capacity
弃耕地演替,succession on abandoned field
土壤环境工程,soil environment engineering
土壤污染,soil pollution
富营养化,eutrophication
垦殖耕作,plantation plowing
迹地土壤,slash soil
自然保护,nature conservation
土壤生态系统结构,structure of soil ecosystem
土壤信息,soil information
匮乏元素,deficient element
根拱小土墩,cradle knoll
分室模型,compartment model
土壤层段,soil segment
土壤退化,soil degradation
半休闲地,occupied fallow field
可耕地,tillable land
温室气体,greenhouse gasses
弃耕地,abandoned field
温室效应,greenhouse effect
土壤污染负荷,soil pollution load
酸雨,acid rain
农药污染,pesticide pollution
土壤生态环境,ecological environment of soil
嫌盐植物,halophobes
地位级,site class
土壤空间分布模型,soil spatial distribution model
地位指数,site index
森林立地,forest site
活地被层,living mulch
定位研究,located research
凋落物,litter fall
覆盖植物,cover plant
可持续农业,sustainable agriculture
样地,plot
土壤食粪动物,soil coprophagous animal
土壤食草动物,soil grazing animal
能量收支,energy budget
水分供应,water supply
能量平衡,energy balance
养分收支,nutrient budget
能量转变,energy transformation
养分流,nutrient flow
土壤培肥,improvement of soil fertility
模拟模型,simulation model
最优化模型,optimum model
填土动物穴,crotovina
土壤演替,soil succession
土壤障碍因子,soil constraint factor
浅耕,shallow ploughing
土壤环境质量,soil environment quality
灌丛小土丘,coppice knoll
分解者,decomposer
土壤动物学,soil zoology
根圈微生物,rhizosphere microorganism
有害根圈微生物,deterious rhizosphere microorganism
内生菌根,endomycorrhiza
根瘤菌根瘤,rhizobial nodule
硫化作用,sulfurication
竞争结瘤,competitive nodulation
联合固氮作用,associative nitrogen fixation
豆血红蛋白,leghaemoglobin
共生固氮作用,symbiotic nitrogen fixation
固氮酶,nitrogenase
非共生固氮作用,non-symbiotic nitrogen fixation
接种密度,inoculum density
固氮基因,nitrogen fixation genes
反硝化细菌,denitrifying bacteria
反硫化作用,desulfurication
共代谢,co-metabolism
生物固持作用,biological immobilization
土壤生物活性,soil biological activity
熏蒸法,fumigation
微生物杀虫剂,microbial pesticide
微生物接种剂,microbial inoculant
植物促长根圈细菌,plant growthpromoting rhizobacteria
非生物物质,xenobiotic substances
根瘤菌毒素,rhizobiotoxin
乙炔还原检测,acetylene reduction assay
土壤－根界面,soil-root interface
外源污染物,xenobiotic pollutants
氨氧化细菌,ammonia-oxidizing bacteria
生物转化,bioconversion
生物治疗,bioremediation
生物变质,biodeterioration
微生境,microhabitat
纤维素分解活性,cellulolytic activity
腐解作用,decay
激发效应,priming effect
B型胡敏酸,B type humic acid
腐殖物质发色基团,chromophoric group of humic substances
绿色胡敏酸,green humic acid
土壤酶学,soil enzymology
碳循环,carbon cycle
磷循环,phosphorus cycle
土壤多糖,soil polysaccharide
生化强度,biochemical capacity
土壤原酶,native soil enzyme
土壤蔗糖酶,soil saccharase
噬菌体,bacteriophage
细菌,bacteria
土壤储积酶,accumulated soil enzyme
结瘤,nodulation
结瘤因子,nod factor
贫营养性,oligotrophy
硝化细菌,nitrifying bacteria
土壤有机质,soil organic matter
腐殖物质生理效应,physiological effect of humic substance
氨化作用,ammonification
微生物群落,microbial community
真菌,fungus
微生物除草剂,microbial herbicide
原生动物,protozoa
趋化性,chemotaxis
微生物积累,microbial accumulation
互养作用,syntrophism
光合微生物,photosynthetic microorganism
岩内微生物群落,endolithic microbial community
食虫真菌,predacious fungi
土壤有机质平均停留时间,mean residence time of soil organic matter
土壤富集法,soil enrichment method
A型胡敏酸,A type humic acid
腐殖物质组分,fraction of humic substances
腐殖化系数,humification coefficient
腐殖化程度,degree of humification
干土效应,effect of soil drying
水解酶类,hydrolase
适性酶,adaptative enzyme
土壤微生物,soil microorganism
偏害共栖现象,amensalism
根圈,rhizosphere
附生菌,epiphyte
根圈效应,rhizosphere effect
根土比,R/S ratio
共生现象,symbiotism
内生菌,endophyte
土壤动物区系,soil fauna
土壤微动物区系,soil microfauna
寄生现象,parasitism
捕食现象,predation
偏利共栖现象,commensalism
发酵性细菌,zymogenic bacteria
硝化抑制剂,nitrification inhibitor
生态位,ecological niche
亚硝化作用,nitrosification
生物固氮作用,biological nitrogen fixation
反硝化作用,denitrification
熏蒸剂,fumigant
黏细菌,myxobacteria
生物可降解性,biodegradability
贫营养微生物,oligotrophic microorganisms
质粒,plasmid
共生质粒,symplasmid
氮素有效性比率,nitrogen availability ratio
生境,habitat
土壤有机质平衡,soil organic matter balance
细菌生理群,physiological group of bacteria
土壤原有机质,native soil organic matter
土壤有机质半减期,half-life of soil organic matter
嗜热微生物,thermophilic microorganism
胡敏酸A4/A6比值,A4/A6 ratio of humic acid
胡敏酸-富啡酸比值,HA/FA ratio
重组腐殖物质,humic substance in heavy fraction
腐殖化作用,humification
富啡酸,fulvic acid
金属-腐殖物质络合物,metalhumic substances complexes
氮循环,nitrogen cycle
硫循环,sulfur cycle
需氧外酶,aerobic exoenzyme
土壤脲酶,soil urease
需氧酶,aerobic enzyme
氧化还原酶类,oxidoreductase
固氮酶活性,nitrogenase activity
胞外酶,extracellular enzyme
土壤微生物生物量,soil microbial biomass
土著性细菌,autochthonous bacteria
茎瘤,stem nodule
外生菌根,ectomycorrhiza
土壤环流术,soil perfusion technique
铁载体,siderophore
低营养流生境,less nutrient flux habitat
胞内酶,endocellular enzyme
土壤酶稳定性,stability of soil enzyme
转移酶类,transferase
土壤生物量,soil biomass
土壤微生物区系,soil microflora
共生生物,symbiont
菌根,mycorrhiza
根区,root zone
根面,rhizoplane
根瘤菌剂,rhizobium inoculant
硫细菌,sulfur bacteria
甲烷细菌,methane bacteria
毒性有机物的去毒作用,detoxication of toxic organic compound
铁细菌,iron bacteria
有机物的毒化,toxication of organic compound
生物降解,biodegradation
土壤消毒,soil disinfection
好气分解,aerobic decomposition
土壤源温室气体,soil-borne greenhouse gases
嫌气分解,anaerobic decomposition
蓝细菌,cyanobacteria
菌根圈,mycorrhizosphere
杀真菌剂,fungicide
根瘤素,nodulin
结瘤基因,nodulation gene
孢子,spore
微生物营养群,trophic groups of microorganisms
群落,community
土壤有机质分解率,decomposition rate of soil organic matter
灰色胡敏酸,grey humic acid
土壤酶,soil enzyme
土壤酶促反应,soil enzymatic reaction
土壤酶保护容量,enzyme protection capacity of soil
动植物残体,plant and animal residues
植物圈,phytosphere
腐殖物质,humic substances
土壤局部灭菌,partial sterilization of soil
土壤有机碳-有机氮比值,organic carbo-nitrogen ratio in soil
有机氮库,organic nitrogen pool
固氮作用,nitrogen fixation
侵入线,infection thread
丛枝菌根,arbuscular mycorrhiza
植物凝集素,lectin
硝化作用,nitrification
自生固氮菌,free-living nitrogen fixing bacteria
微生物根部定植,colonization of root by microorganism
纤维分解菌,cellulose-decomposing bacteria
放线菌根瘤共生,actinorhizal symbiosis
遗传工程微生物,genetically engineered microorganism
接种物,inoculum
生物发光技术,bioluminescence technique
腐殖酸,humic acids
土壤酶活性,soil enzyme activity
冻土效应,effect of soil freezing
共生关系,symbiosis
互接种族,cross inoculation group
土传植物病菌,soil-borne plant pathogen
互利共栖现象,mutualism
[生物]拮抗现象,antagonism
类菌体,bacteroid
放线菌根瘤,actinorhizal nodule
纤维素分解作用,cellulose decomposition
根瘤菌,rhizobia
矿化作用,mineralization
土地生物处理,land biological treatment
先锋群落,pioneer community
内共生体,endosymbiont
土壤腐殖质,soil humus
轻组腐殖物质,humic substance in light fraction
胡敏素,humin
胡敏酸,humic acid
活性腐殖质,active humus
土壤酶抑制剂,soil enzyme inhibitor
土壤非活体酶,soil abiotic enzyme
土壤酶激活,activation of soil enzyme
裂解酶类,lyase
